PC1,PC2
69.33476804099837,845.8963310122527
-176.29402415411369,-13.192993454198884
-1114.2525069428725,-40.74340036601252
-922.0989796477566,-75.8153914395827
-212.11361080204097,-161.0987016461198
-53.704837705116915,396.1690013251903
-188.0409743646478,-78.86885029456887
-252.0977353190401,-277.0051228226688
-187.49427741222598,-76.98250530155134
-180.67539043950228,-34.2124478407446
-174.03591069141385,0.3039647785188606
-181.9287930487917,-39.62065437750607
-291.1309421841934,-409.1399638572319
-29.420148050301577,472.1142497121225
-1305.7790801738656,36.37064420209941
-1333.8465505558443,-58.931792040922275
-249.11370941052564,-266.41406555726604
-159.69871995928952,68.2668632152853
1426.3335112668283,-113.94849000920377
2194.0150964276927,-120.48805501582785
-180.395341950692,-35.99278712082709
-170.36464776279718,3.4057461650816947
170.70081828821412,-95.95676437578732
-179.9876337836854,-32.96209339926294
-180.59692642048458,-40.813596589250295
-523.2846574554699,-48.585376629837356
-185.44072568376123,-72.76795694067665
-185.22828461919562,-71.42310936477759
-11.675897824721233,538.4131331528637
-177.6911715779538,-24.525171506432088
-181.04552568841245,-35.341371476241946
-181.05339508246243,-35.439589388823634
-230.05633327867235,-221.7096670173505
-518.8604446410698,-137.90580227868034
-84.94367689450746,-63.93068913325404
-386.32356777160066,-25.020728764798108
-180.6527589648831,-34.541726450826744
-216.30117482565447,-163.5286993264715
-180.63188473334094,-34.07151432350393
-254.16080793916535,-303.8011104013674
4729.86661039427,112.03428376168702
-379.0310483426251,-2.946520717445651
-180.29000704007467,-34.45022693420958
451.5801729592408,2143.3406600456265
-169.6260790114925,1.8662533191982078
-959.2230420585681,-25.345484127012526
-185.4596473807951,-73.1311778370729
-179.31303073830804,-29.915513970314308
-182.41681914071205,-39.79678393074161
-655.0342905448672,-59.8887107235486
-584.8342385665364,6.968283811965108
-180.2550654673787,-32.847851602955146
1033.7356926680272,-334.025636250123
-102.83646298167605,209.99683980574252
-176.75861426615802,-23.917855635117775
-176.43196012465978,-20.5234202461112
-486.8235531268185,-16.04494231053107
1220.2323204949794,116.86013368116855
-178.9617422699207,-28.84786831191707
-434.43964615533014,-12.245912317372401
-143.69413230648797,71.26047093844218
1510.9321782639154,49.139599309252134
-181.609175703833,-58.49217195508634
-179.7852411656795,-31.205953121582766
-157.6797467215274,72.82023412345131
-1622.4073713624598,-44.49118291065975
-183.48662513512681,-57.73053750071881
-151.67040676989564,59.08666594968133
