TSNE1,TSNE2
19.902458,27.62209
12.487553,16.900621
68.47751,-4.330165
27.802923,-24.632542
27.912975,-26.881935
-28.277826,-6.057725
14.209281,-32.077045
29.402958,-34.106533
26.808104,-26.590712
-7.4453273,15.226603
3.9616942,60.375237
71.79075,-1.6449149
68.10488,6.7949047
4.20192,-29.640945
59.480415,-15.823598
51.929726,22.707844
1.0267516,49.71215
-38.065277,-22.123726
-31.729757,44.631954
-5.4470916,-26.845217
5.0350184,62.025448
-21.463978,38.02618
-60.19867,0.880059
66.11524,6.0933604
34.44219,14.640308
26.133215,-15.361643
59.604313,-16.279148
2.150743,13.877051
18.541868,-48.65281
39.626156,4.6038976
-11.252193,-49.50726
-19.1898,-4.726307
-10.081169,32.916622
-26.558414,43.861595
68.52786,4.884343
27.776955,-31.354366
-32.640415,-20.349493
54.118477,21.79717
-19.057358,-25.071856
-33.044937,31.425991
-27.884172,42.087856
39.8889,6.8473215
-42.954052,-29.351597
-53.856514,19.188002
21.79763,-38.150043
-20.141157,-35.04745
10.816628,-12.283596
-22.329687,-34.627724
-55.585243,15.462571
-69.99702,-10.3674755
-40.95787,-19.15014
-26.96423,43.767357
-4.376596,20.83294
25.0019,28.374554
65.012566,-2.0454533
7.2353606,-58.150658
-34.95319,-13.281753
-19.880787,-0.47377098
21.81704,-32.202343
-30.46597,31.908175
-33.47184,-24.24587
41.804695,17.084742
6.107282,-58.29788
-32.50659,43.562923
-28.712683,46.785233
58.2243,-23.530031
-70.48544,-10.83302
-67.302864,-10.3175125
-70.3741,-10.536541
-70.01478,-11.239353
-5.957814,19.900972
-1.4217997,-6.001021
64.48862,7.6930337
-69.835304,-11.00242
-69.99701,-10.367472
21.704706,-31.655655
-52.937305,18.135643
4.4504585,-36.089535
9.22671,67.70653
3.0777354,-57.87211
37.33994,17.892313
-29.186314,-3.3093586
4.215882,-36.081203
-5.3357277,13.458193
-70.48544,-10.833013
-56.732067,19.287537
-47.719864,22.834
48.246372,23.613998
-58.24411,13.61876
-4.8505144,-32.43689
53.828186,-30.21842
-69.81015,-10.82328
-6.2982645,-6.8489637
46.686733,20.528193
36.579697,9.368337
7.405259,19.601133
-45.527157,-28.983906
-40.14197,28.525196
7.4579954,21.638767
